Poster,Title,Year,Genre,Cast,Rating
"https://m.media-amazon.com/images/M/MV5BYWQ4OGI2MmQtZjUxMC00Njg2LWJiZTQtYmFmZjI5ZmI1Y2U1XkEyXkFqcGdeQXVyMTA1NjE5MTAz._V1_UY209_CR1,0,140,209_AL_.jpg",IF,2023.0,"Animation, Comedy, Drama","Cailey Fleming, Ryan Reynolds, John Krasinski, Phoebe Waller-Bridge",6.8
"https://m.media-amazon.com/images/M/MV5BZDkyNjE0NzMtNTgxYS00MDE4LWI0OWYtZGNmNDcxNjRhMTY3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Late Night with the Devil,2023.0,Horror,"Colin Cairnes, David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi",7.1
"https://m.media-amazon.com/images/M/MV5BYTdkOTlkNzctNDE2MS00ZTUyLThhZjUtYTdiZGM4MWU3ZjQzXkEyXkFqcGdeQXVyMTM1Njk1MDUx._V1_UY209_CR13,0,140,209_AL_.jpg",Laapataa Ladies,2023.0,"Comedy, Drama","Nitanshi Goel, Pratibha Ranta, Sparsh Srivastav, Savita Malviya",8.5
"https://m.media-amazon.com/images/M/MV5BNDNmYTQzMDEtMmY0MS00OTNjLTk4MjItMDZhMzkzOGI3MzA0XkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_UY209_CR0,0,140,209_AL_.jpg",War for the Planet of the Apes,2023.0,"Action, Adventure, Drama","Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval",7.4
"https://m.media-amazon.com/images/M/MV5BNzZlODVjMzgtZGM1Yi00MWMwLTkyYTQtMzJlZjQ4MDgwYzg4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UX140_CR0,0,140,209_AL_.jpg",Monkey Man,2023.0,"Action, Thriller","Dev Patel, Sharlto Copley, Pitobash, Jatin Malik",7.0
"https://m.media-amazon.com/images/M/MV5BYjczYjQ3ZTMtMDAwZi00Y2I2LWE2MTMtOGUyM2YyMThmYTFiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR8,0,140,209_AL_.jpg",Shaitaan,2023.0,"Horror, Thriller","Ajay Devgn, Madhavan, Jyotika, Janki Bodiwala",6.8
"https://m.media-amazon.com/images/M/MV5BZGYzYjQ3ZWItMGJlZC00YzAxLTgzMTItYzI5MjY2YjA4Mjk5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Tarot,2023.0,Horror,"Anna Halberg, Avantika, Jacob Batalon, Olwen Fouéré, Harriet Slater",5.0
"https://m.media-amazon.com/images/M/MV5BY2QwOGE2NGQtMWQwNi00M2IzLThlNWItYWMzNGQ5YWNiZDA4XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX140_CR0,0,140,209_AL_.jpg",Godzilla x Kong: The New Empire,2023.0,"Action, Adventure, Fantasy","Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle",6.4
"https://m.media-amazon.com/images/M/MV5BNGIyYWMzNjktNDE3MC00YWQyLWEyMmEtN2ZmNzZhZDk3NGJlXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Poor Things,2023.0,"Comedy, Drama, Romance","Emma Stone, Mark Ruffalo, Willem Dafoe, Ramy Youssef",7.9
"https://m.media-amazon.com/images/M/MV5BMDI1ZTc1MDAtYWY3Mi00OWM5LWFkZTUtMWM1Yjc1ZjFiOWYzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",Arcadian,2023.0,"Action, Horror, Thriller","Nicolas Cage, Jaeden Martell, Maxwell Jenkins, Sadie Soverall",5.5
"https://m.media-amazon.com/images/M/MV5BMDU2ZmM2OTYtNzIxYy00NjM5LTliNGQtN2JmOWQzYTBmZWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Bullet Train,2023.0,"Action, Comedy, Thriller","Brad Pitt, Joey King, Aaron Taylor-Johnson, Brian Tyree Henry",7.3
"https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX140_CR0,0,140,209_AL_.jpg",Star Wars: Episode I - The Phantom Menace,2023.0,"Action, Adventure, Fantasy","Ewan McGregor, Liam Neeson, Natalie Portman, Jake Lloyd",6.5
"https://m.media-amazon.com/images/M/MV5BZDMwZTlhZGEtNTRkZi00YjI5LTliMDctN2UzZWJkZjk5NmJjXkEyXkFqcGdeQXVyOTc0NjQzOTM@._V1_UY209_CR0,0,140,209_AL_.jpg",Turtles All the Way Down,2023.0,"Drama, Romance","Isabela Merced, Cree, Judy Reyes, Felix Mallard",6.7
"https://m.media-amazon.com/images/M/MV5BYzE3ZmNlZTctMDdmNy00MjMzLWFmZmYtN2M5N2YyYTQ1ZDJjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UY209_CR0,0,140,209_AL_.jpg",Rise of the Planet of the Apes,2023.0,"Action, Drama, Sci-Fi","James Franco, Andy Serkis, Freida Pinto, Karin Konoval",7.6
"https://m.media-amazon.com/images/M/MV5BMDBmYTZjNjUtN2M1MS00MTQ2LTk2ODgtNzc2M2QyZGE5NTVjXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_UY209_CR0,0,140,209_AL_.jpg",Oppenheimer,2023.0,"Biography, Drama, History","Cillian Murphy, Emily Blunt, Matt Damon, Robert Downey Jr.",8.3
"https://m.media-amazon.com/images/M/MV5BY2RlMDhlY2MtMjQ1Zi00NzI5LTgxOTgtZjliNWMzYTY3NWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX140_CR0,0,140,209_AL_.jpg",Planet of the Apes,2023.0,"Action, Adventure, Sci-Fi","Mark Wahlberg, Helena Bonham Carter, Tim Roth, Michael Clarke Duncan",5.7
"https://m.media-amazon.com/images/M/MV5BYWE2MzU2ZGUtYTY1Yi00ZTI5LWE4NzMtNWM1NzRhMDQ3ZjM3XkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UY209_CR0,0,140,209_AL_.jpg",Dawn of the Planet of the Apes,2023.0,"Action, Adventure, Drama","Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee",7.6
"https://m.media-amazon.com/images/M/MV5BOGE5NjllZTEtMGJjNy00ZTFmLThlNDItNmNiZTgyOTQ4OTA2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_UY209_CR0,0,140,209_AL_.jpg",The Iron Claw,2023.0,"Biography, Drama, Sport","Zac Efron, Jeremy Allen White, Harris Dickinson, Maura Tierney",7.7
"https://m.media-amazon.com/images/M/MV5BYjQ5OTI3MWYtN2NkZC00MzE3LWE1NGItZjI0ZjFiZTIzOWFkXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_UY209_CR0,0,140,209_AL_.jpg",Back to Black,2023.0,"Biography, Drama, Music","Marisa Abela, Eddie Marsan, Jack O'Connell, Lesley Manville",6.6
"https://m.media-amazon.com/images/M/MV5BZjQwYjU3OTYtMWVhMi00N2Y2LWEzMDgtMzViN2U4NWI1NmI3XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_UY209_CR0,0,140,209_AL_.jpg",The Beekeeper,2023.0,"Action, Thriller","Jason Statham, Emmy Raver-Lampman, Bobby Naderi, Josh Hutcherson",6.4
